rectangle|#5c88fc|[-73.0, -3.0, 834.0, 362.0]|
polygon|#8f8f92|[814.0, 146.0, 608.0, 190.0, 574.0, 285.0, 464.0, 363.0, 766.0, 374.0]|
oval|#f5f018|[-19.0, -13.0, 81.0, 87.0]|
polygon|#79797b|[815.0, 174.0, 682.0, 219.0, 627.0, 299.0, 498.0, 358.0, 845.0, 366.0]|
polygon|#838383|[98.0, 165.0, -7.0, 109.0, 0.0, 295.0, 348.0, 355.0, 241.0, 210.0]|
polygon|#747474|[242.0, 259.0, 59.0, 195.0, -11.0, 136.0, -20.0, 360.0, 395.0, 362.0]|
rectangle|#867059|[-10.0, 359.0, 801.0, 634.0]|
rectangle|#ffffff|[754.0, 313.0, 832.0, 324.0]|
rectangle|#ffffff|[754.0, 334.0, 875.0, 345.0]|
rectangle|#ffffff|[765.0, 301.0, 783.0, 363.0]|
polygon|#8f8f8f|[58.0, 191.0, -2.0, 144.0, 56.0, 197.0, 117.0, 217.0, 160.0, 230.0]|
rectangle|#938175|[66.0, 276.0, 80.0, 371.0]|
triangle|#00640d|[73.0, 165.0, 22.0, 340.0, 122.0, 340.0]|
oval|#626cee|[-90.0, 562.0, 330.0, 605.0]|
oval|#15622d|[-30.0, 579.0, 50.0, 589.0]|
oval|#15622d|[75.0, 591.0, 150.0, 602.0]|
rectangle|#635e47|[617.0, 170.0, 627.0, 189.0]|
polygon|#ffffff|[667.0, 178.0, 608.0, 188.0, 604.0, 197.0, 714.0, 171.0, 809.0, 146.0]|
triangle|#1a661e|[623.0, 124.0, 608.0, 180.0, 635.0, 177.0]|
polygon|#ffffff|[624.0, 123.0, 624.0, 147.0, 626.0, 163.0, 627.0, 177.0, 636.0, 178.0]|
rectangle|#5b5b5e|[-40.0, 407.0, 815.0, 476.0]|
rectangle|#c8b320|[-8.0, 438.0, 819.0, 442.0]|
triangle|#969696|[239.0, 208.0, 186.0, 194.0, 244.0, 215.0]|
oval|#ffffff|[196.0, 38.0, 295.0, 71.0]|
oval|#ffffff|[240.0, 28.0, 322.0, 56.0]|
oval|#ffffff|[244.0, 42.0, 346.0, 68.0]|
oval|#ffffff|[611.0, 87.0, 706.0, 115.0]|
oval|#ffffff|[646.0, 75.0, 719.0, 100.0]|
oval|#ffffff|[662.0, 87.0, 746.0, 111.0]|
